Sample,Mem
1,148.3299805
2,53.22705078
3,69.19091797
4,42.42011719
5,67.27353516
6,67.73134766
7,69.08242188
8,66.12158203
9,66.60996094
10,60.23759766
11,89.03564453
12,61.72167969
13,104.7469727
14,47.35537109
15,77.28818359
16,66.271875
17,52.06660156
18,73.93457031
19,61.55556641
20,29.42167969
21,70.14521484
22,47.81845703
23,40.47744141
24,69.853125
25,69.76425781
26,51.98408203
27,58.76259766
28,52.29541016
29,36.35292969
30,60.09560547
31,63.88632813
32,51.57871094
33,61.62285156
34,70.40087891
35,52.33798828
36,81.80302734
37,60.70878906
38,67.81875
39,67.00869141
40,67.08398438
41,78.25742188
42,70.67666016
43,57.43505859
44,76.59453125
45,50.14375
46,81.85273438
47,60.0625
48,72.88173828
49,63.46640625
50,72.58515625
51,79.96767578
52,54.57578125
53,72.33583984
54,55.41396484
55,74.6578125
56,51.00644531
57,77.37753906
58,57.62041016
59,74.33876953
60,60.19375
61,70.45712891
62,38.68789063
63,53.74882813
64,70.25488281
65,63.30361328
66,91.31494141
67,86.89902344
68,59.72480469
69,96.72207031
70,91.96279297
71,92.75976563
72,64.33271484
73,78.56914063
74,78.77988281
75,94.64931641
76,92.08681641
77,60.90644531
78,84.4796875
79,72.13496094
80,85.16376953
81,87.98603516
82,91.59726563
83,51.45332031
84,93.4703125
85,69.09941406
86,85.77050781
87,61.00927734
88,91.74833984
89,77.18642578
90,47.28183594
91,68.63066406
92,74.909375
93,69.16757813
94,96.13798828
95,81.82617188
96,70.80556641
97,86.12597656
98,75.21269531
99,57.56845703
100,91.68203125
101,88.24658203
102,65.46152344
103,87.39257813
104,90.51894531
105,50.15966797
106,83.41582031
107,70.12773438
108,69.20957031
109,75.63369141
110,76.27421875
111,61.34140625
112,66.79824219
113,63.50908203
114,66.55478516
115,55.16191406
116,53.00234375
117,102.8699219
118,64.77265625
119,86.42705078
120,86.24179688
121,69.05742188
122,92.92470703
123,88.55087891
124,60.68115234
125,91.21660156
126,92.04287109
127,90.76035156
128,69.50859375
129,75.33681641
130,80.89365234
131,78.83291016
132,70.34853516
133,74.29912109
134,58.70097656
135,68.84550781
136,73.31044922
137,77.36816406
138,83.69199219
139,44.57421875
140,88.96386719
141,95.58125
142,45.12333984
143,78.44150391
144,80.01171875
145,57.39619141
146,45.65097656
147,35.98876953
148,53.31660156
149,53.03261719
150,45.02392578
151,43.92685547
152,52.65888672
153,55.18417969
154,33.34169922
155,52.16025391
156,36.89306641
157,28.16796875
158,53.04755859
159,47.35351563
160,28.07382813
161,49.74404297
162,42.82900391
163,52.44882813
164,51.64453125
165,57.28652344
166,46.73417969
167,55.00527344
168,32.29619141
169,58.80263672
170,51.81044922
171,42.91582031
172,45.30898438
173,39.33720703
174,50.53466797
175,50.85009766
176,37.55214844
177,87.37304688
178,90.87695313
179,66.96660156
180,98.7484375
181,64.93076172
182,62.05351563
183,49.37119141
184,54.03378906
185,60.96591797
186,62.68496094
187,42.35917969
188,59.90087891
189,66.87158203
190,66.90595703
191,68.49492188
192,48.71894531
193,66.48447266
194,60.77070313
195,27.59941406
196,57.44160156
197,45.03701172
198,59.26347656
199,61.61464844
200,37.90810547
201,68.29384766
202,57.15371094
203,65.26875
204,58.36123047
205,61.00429688
206,53.41171875
207,78.92011719
208,57.20449219
209,68.40537109
210,66.60097656
211,68.0796875
212,66.14189453
213,61.08330078
214,47.07109375
215,75.22919922
216,41.18076172
217,82.48544922
218,73.99375
219,68.55908203
220,76.54111328
221,48.51425781
222,72.21523438
223,81.70830078
224,83.55556641
225,67.78886719
226,90.50488281
227,87.67607422
228,54.62763672
229,66.18691406
230,66.89208984
231,51.05693359
232,79.69580078
233,53.39335938
234,88.16318359
235,62.71201172
236,63.34052734
237,66.24345703
238,60.49990234
239,81.33955078
240,82.79521484
241,57.62714844
242,65.31816406
243,80.31669922
244,55.97890625
245,79.78095703
246,63.38984375
247,60.14570313
248,79.52597656
249,63.83945313
250,88.4859375
251,88.93964844
252,54.12773438
253,73.65332031
254,77.64873047
255,55.13349609
256,55.53623047
257,73.60966797
258,59.8109375
259,50.23154297
260,58.66289063
261,59.34589844
262,62.05996094
263,65.33652344
264,57.83066406
265,59.61884766
266,65.05361328
267,65.13095703
268,47.88017578
269,63.72421875
270,48.67158203
271,58.89521484
272,67.5625
273,67.07050781
274,64.10800781
275,63.79580078
276,68.14638672
277,69.97607422
278,59.36533203
279,67.76171875
280,70.47363281
281,43.64648438
282,72.95683594
283,37.80869141
284,68.22861328
285,75.82685547
286,57.95634766
287,66.88955078
288,66.8796875
289,67.84179688
290,72.99541016
291,59.20693359
292,85.26708984
293,78.38398438
294,66.5
295,75.98242188
296,75.45136719
297,65.2234375
298,83.665625
299,85.34404297
300,60.22880859
301,67.31738281
302,74.58525391
303,51.26972656
304,66.14570313
305,48.77675781
306,86.76894531
307,65.66757813
308,70.79658203
309,73.83271484
310,53.40957031
311,82.49365234
312,61.04902344
313,91.3640625
314,81.58681641
315,60.92646484
316,87.98330078
317,82.43476563
318,68.43701172
319,71.81357422
320,74.65351563
321,60.22871094
322,87.23388672
323,78.48232422
324,45.04287109
325,67.28671875
326,33.54160156
327,77.02705078
328,77.78574219
329,39.66621094
330,81.91884766
331,45.44970703
332,89.26054688
333,81.83095703
334,58.67783203
335,73.76103516
336,53.63486328
337,91.45615234
338,88.02460938
339,48.57207031
340,86.66689453
341,62.42910156
342,22.91748047
343,90.89345703
344,90.82246094
345,71.42949219
346,24.09248047
347,89.48144531
348,90.49121094
349,42.61962891
350,59.73652344
351,58.61191406
352,52.53916016
353,58.92080078
354,46.00966797
355,74.55664063
356,47.6984375
357,73.83828125
358,60.346875
359,46.70605469
360,44.74824219
361,46.52675781
362,47.96630859
363,30.33662109
364,83.08095703
365,83.51494141
366,44.05390625
367,71.39697266
368,37.58564453
369,62.53330078
370,55.57753906
371,73.26953125
372,71.98544922
373,66.58398438
374,41.88466797
375,58.17871094
376,64.56943359
377,50.64267578
378,69.2234375
379,54.46005859
380,75.47070313
381,47.32148438
382,42.17880859
383,64.18095703
384,66.47607422
385,69.04404297
386,64.47089844
387,66.15263672
388,69.51435547
389,51.34785156
390,62.06455078
391,67.16289063
392,50.21689453
393,59.70869141
394,60.15751953
395,45.52509766
396,70.93164063
397,66.75253906
398,46.06630859
399,26.81269531
400,67.49160156
401,61.72509766
402,34.06679688
403,60.24716797
404,64.45185547
405,36.65810547
406,42.91240234
407,39.13837891
408,36.90947266
409,43.81796875
410,34.42578125
411,39.05654297
412,42.87792969
413,13.87148438
414,42.49775391
415,29.36044922
416,48.93378906
417,58.06210938
418,37.53857422
419,57.81357422
420,49.04316406
421,57.89169922
422,50.34208984
423,25.86015625
424,52.52539063
425,38.7125
426,51.88867188
427,56.78134766
428,57.41816406
429,56.36591797
430,57.90439453
431,59.62167969
432,61.13544922
433,54.27714844
434,50.36523438
435,40.66132813
436,48.91748047
437,58.26220703
438,39.27353516
439,59.221875
440,41.64980469
441,49.103125
442,55.61445313
443,54.48027344
444,60.46533203
445,40.19960938
446,55.41826172
447,60.86669922
448,57.66933594
449,50.07158203
450,58.54267578
451,38.64570313
452,30.4015625
453,60.46289063
454,44.90517578
