Sample,Mem
1,96032
2,83314
3,93580
4,76959
5,79599
6,80280
7,77838
8,76141
9,71613
10,79790
11,75506
12,77268
13,78597
14,71458
15,79845
16,79680
17,77609
18,70483
19,69347
20,80663
21,79291
22,80238
23,81569
24,78708
25,74397
26,78449
27,77055
28,77765
29,84084
30,82573
31,79151
32,72769
33,79574
34,93622
35,87037
36,87185
37,86385
38,88917
39,85215
40,83834
41,84359
42,82288
43,79411
44,75484
45,89835
46,82702
47,82079
48,87776
49,85202
50,77586
51,85917
52,81222
53,78756
54,85731
55,87770
56,82155
57,75258
58,79169
59,83392
60,84767
61,85327
62,93443
63,77671
64,79881
65,86770
66,76895
67,90711
68,96727
69,76985
70,90105
71,97871
72,82470
73,85905
74,93465
75,95610
76,77770
77,76475
78,77406
79,76408
80,73082
81,75947
82,79968
83,83861
84,82826
85,85072
86,84940
87,77841
88,85586
89,77320
90,79114
91,84164
92,86362
93,89263
94,78926
95,78232
96,78768
97,78273
98,82083
99,75917
100,85211
101,80897
102,81995
103,78781
104,78027
105,86894
106,85580
107,84654
108,86534
109,91004
110,88508
111,83101
112,82795
113,83935
114,94222
115,83351
116,87416
117,84811
118,88356
119,91051
120,84225
121,88037
122,86341
123,87460
124,81857
125,77471
126,84687
127,83844
128,85368
129,92746
130,88979
131,86218
132,95086
133,82238
134,86794
135,88634
136,92631
137,86386
138,86727
139,89273
140,82437
141,81998
142,82842
143,84135
144,82241
145,83271
146,88119
147,87920
148,94413
149,82794
150,80281
151,83896
152,84661
153,92337
154,81813
155,83622
156,83778
157,86495
158,62622
159,90029
160,84086
161,82534
162,82754
163,82811
164,83461
165,82324
166,81431
167,81942
168,81451
169,80203
170,83424
171,85188
172,88299
173,91318
174,80603
175,81225
176,83637
177,83562
178,91506
179,84520
180,84038
181,85745
182,87737
183,82211
184,82130
185,81760
186,86259
187,87631
188,81978
189,83157
190,85014
191,87474
192,95233
193,83194
194,83141
195,84718
196,84689
197,83824
198,82167
199,84075
200,93066
201,81621
202,83401
203,88576
204,82340
205,84695
206,80680
207,80250
208,84454
209,85148
210,83812
211,84095
212,85124
213,85257
214,82641
215,84553
216,81560
217,86595
218,86726
219,85436
220,82339
221,81378
222,81931
223,82058
224,82764
225,83405
226,84067
227,85511
228,90306
229,84938
230,87619
231,97443
232,98038
233,92150
234,90449
235,86633
236,88108
237,87382
238,87637
239,87903
240,87515
241,88947
242,88978
243,89204
244,88392
245,87970
246,89200
247,88826
248,89847
249,88013
250,87927
251,87763
252,89007
253,88288
254,89100
255,89013
256,95046
257,97138
258,90795
259,91724
260,95476
261,94921
262,93294
263,93978
264,92792
265,95442
266,96158
267,97008
268,96225
269,97396
270,91005
271,93478
272,98986
273,94330
274,94455
275,89126
276,103981
277,102986
278,90682
279,106695
280,106614
281,107685
282,106649
283,105900
284,108584
285,108827
286,110018
287,109719
288,108802
289,107961
290,106098
291,105981
292,108708
293,107292
294,106050
295,106423
296,103977
297,105101
298,105896
299,107072
300,106644
301,104938
302,104639
303,107586
304,108061
305,106414
306,106512
307,101742
308,102446
309,104863
310,106962
311,107491
312,108327
313,106160
314,105540
315,106485
316,108224
317,104177
318,98514
319,89815
320,103317
321,90739
322,103426
323,97449
324,109978
325,101199
326,105246
327,100646
328,92913
329,103070
330,96498
331,102223
332,105336
333,106980
334,107467
335,107259
336,104455
337,104231
338,106352
339,106737
340,109332
341,111753
342,108822
343,106413
344,108137
345,106478
346,112539
347,117119
348,117554
349,117124
350,117654
351,118828
352,121830
353,111926
354,112934
355,114776
356,105576
357,110453
358,108232
